id,col_15min,dist2coast,lat,lat_15min,lon,lon_15min,rivwth,row_15min,uparea
1388,94,1949.0,70.9662475586,71.125,-156.107910156,-156.375,24.0,75,11122224128.0
1397,301,0.0,71.0770797729,71.125,-104.58291626,-104.625,15.0,75,5307608576.0
1404,368,1947.0,71.2462463379,71.125,-87.8162460327,-87.875,10.0,75,1890741760.0
1409,375,0.0,71.1104202271,71.125,-86.2120819092,-86.125,10.0,75,1094532096.0
1414,380,0.0,71.0354156494,71.125,-84.9920806885,-84.875,10.0,75,1045819968.0
1415,381,0.0,71.2220840454,71.125,-84.6529159546,-84.625,10.0,75,1112081408.0
1416,382,0.0,71.1020812988,71.125,-84.8004150391,-84.375,10.0,75,1045819968.0
1436,936,1948.0,71.1520843506,71.125,54.2129173279,54.125,10.0,75,1211115648.0
1441,1009,1948.0,71.1520843506,71.125,72.4954147339,72.375,22.0,75,3507640064.0
1446,1024,5509.0,71.1779174805,71.125,76.15625,76.125,22.0,75,3664120576.0
1447,1025,5843.0,71.1704177856,71.125,76.2679138184,76.375,59.0,75,11503454208.0
1456,1049,1947.0,71.1962509155,71.125,82.2529144287,82.375,12.0,75,1332599552.0
1459,1239,0.0,71.1345825195,71.125,129.80291748,129.875,10.0,75,1697364736.0
1460,1240,0.0,71.0895843506,71.125,130.032913208,130.125,34.0,75,6177182208.0
1461,1247,1947.0,71.2087478638,71.125,131.93208313,131.875,79.0,75,38375641088.0
1463,1272,1947.0,71.2270812988,71.125,138.187088013,138.125,52.0,75,19078430720.0
1466,1341,1949.0,71.0287475586,71.125,155.267089844,155.375,10.0,75,3745677312.0
1469,1346,0.0,71.0854187012,71.125,156.627075195,156.625,15.0,75,6229737984.0
1470,1348,3898.0,71.030418396,71.125,157.752914429,157.125,13.0,75,4661514752.0
1471,1351,1949.0,71.0337524414,71.125,157.758758545,157.875,13.0,75,4661514752.0
1480,92,1950.0,70.9120864868,70.875,-156.157089233,-156.875,24.0,76,11122224128.0
1481,95,9949.0,70.8329162598,70.875,-156.110412598,-156.125,24.0,76,11122224128.0
1482,96,4364.0,70.7595825195,70.875,-155.882919312,-155.875,10.0,76,2803469312.0
1487,102,1951.0,70.8229141235,70.875,-154.456253052,-154.375,37.0,76,18041063424.0
1500,304,0.0,70.7687530518,70.875,-103.941246033,-103.875,13.0,76,4724850688.0
1503,347,1950.0,70.8862533569,70.875,-93.0129165649,-93.125,10.0,76,1516891648.0
