index,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat,rivhgt,elevtn
124,5125,0.000000,59.125000,-138.625000,143,29446.044922,-139.628900,59.427080,66661,1146,diva_id__675,-138.572922,59.165417,0.403000,-138.572922,59.165417,3.215912,0.000000
125,2374,1966.993198,69.125000,-138.375000,15,4939.740723,-139.043000,69.661460,53390,6222,diva_id__5754,-138.451248,69.228752,0.059000,-138.451248,69.228752,2.000000,0.000000
127,2496,3940.085159,68.875000,-137.125000,14,3647.770996,-137.402300,69.036460,16913,4729,diva_id__4261,-137.105408,68.927917,0.069000,-137.105408,68.927917,2.000000,0.000000
128,2499,0.000000,68.875000,-135.875000,14,3425.319336,-135.761700,69.401040,65790,6223,diva_id__5755,-135.777084,68.809586,0.062000,-135.777084,68.809586,2.000000,0.000000
129,2253,0.000000,69.375000,-134.125000,31,8054.550293,-133.066400,69.505210,52349,4736,diva_id__4268,-134.202087,69.257080,0.031000,-134.202087,69.257080,2.000000,0.000000
130,5866,0.000000,56.125000,-131.125000,45,2463.469238,-131.601600,55.598960,61900,1460,diva_id__989,-131.087082,56.074585,0.423000,-131.087082,56.074585,2.000000,0.000000
131,5926,2126.281504,55.875000,-130.875000,30,1672.464355,-131.597000,55.592340,49968,6262,diva_id__5794,-130.916245,55.826248,0.423000,-130.916245,55.826248,2.000000,0.000000
132,2264,4392.701493,69.375000,-130.625000,10,2364.505371,-131.191400,69.973960,60208,4732,diva_id__4264,-130.582916,69.475418,0.009000,-130.582916,69.475418,2.000000,0.000000
134,6428,0.000000,54.125000,-129.875000,22,1376.384644,-130.193900,54.138170,18852,16337,deltas_008,-129.907913,54.112915,0.506000,-129.907913,54.112915,2.000000,0.000000
135,6112,2137.019815,55.125000,-129.625000,174,19865.597656,-130.429700,54.713540,62479,570,diva_id__99,-129.602081,55.011250,0.503000,-129.602081,55.011250,3.579137,0.000000
137,6429,0.000000,54.125000,-129.625000,217,51903.218750,-130.193900,54.138170,40582,16337,deltas_008,-129.582916,54.210415,0.506000,-129.582916,54.210415,4.020247,0.000000
138,6667,0.000000,53.375000,-128.125000,23,1298.641235,-129.082000,53.307290,66225,1463,diva_id__992,-128.127090,53.481251,0.483000,-128.127090,53.481251,2.000000,0.000000
139,7412,0.000000,50.625000,-126.875000,24,1832.544067,-126.972700,50.651040,9157,6302,diva_id__5834,-126.976250,50.568748,0.431000,-126.976250,50.568748,2.000000,0.000000
140,7361,0.000000,50.875000,-126.125000,24,1326.449585,-126.621100,50.703130,39600,6328,diva_id__5860,-126.192917,50.934582,0.430000,-126.192917,50.934582,2.000000,0.000000
141,7468,0.000000,50.375000,-125.875000,18,1364.937378,-126.621100,50.651040,55983,4804,diva_id__4336,-125.947914,50.386250,0.430000,-125.947914,50.386250,2.000000,0.000000
142,1006,3879.290014,72.125000,-125.625000,10,2721.085449,-125.859400,71.901690,20462,6267,diva_id__5799,-125.697914,72.078751,0.006000,-125.697914,72.078751,2.000000,0.000000
143,7546,0.000000,50.125000,-125.375000,22,1771.462891,-125.214800,50.130210,10204,6345,diva_id__5877,-125.258751,50.042915,0.428000,-125.258751,50.042915,2.000000,0.000000
144,812,0.000000,72.625000,-125.125000,27,7187.730469,-125.859400,71.901690,70947,6267,diva_id__5799,-125.210419,72.507919,0.006000,-125.210419,72.507919,2.000000,0.000000
146,1086,5822.112518,71.875000,-124.875000,10,1107.159058,-125.859400,71.901690,34181,6267,diva_id__5799,-124.885414,71.957916,0.006000,-124.885414,71.957916,2.000000,0.000000
147,7783,0.000000,49.125000,-124.875000,18,1424.802246,-124.657000,49.426800,23254,6382,diva_id__5914,-124.818748,49.246250,0.438000,-124.818748,49.246250,2.000000,0.000000
148,7607,0.000000,49.875000,-124.625000,21,1249.068970,-124.541000,49.817710,5666,4805,diva_id__4337,-124.560417,49.867085,0.435000,-124.560417,49.867085,2.000000,0.000000
149,8042,0.000000,47.875000,-124.625000,13,1614.407471,-124.746100,48.072920,18919,4870,diva_id__4402,-124.638748,47.918751,0.434000,-124.638748,47.918751,2.000000,0.000000
150,277,3845.791740,74.125000,-124.375000,10,2308.357910,-124.335900,73.880210,14609,6270,diva_id__5802,-124.303749,74.011253,0.026000,-124.303749,74.011253,2.000000,0.000000
151,516,5784.212011,73.375000,-124.375000,10,1118.132568,-124.101600,73.671880,32333,6266,diva_id__5798,-124.357910,73.390419,0.024000,-124.357910,73.390419,2.000000,0.000000
152,7473,0.000000,50.375000,-124.375000,29,1737.599487,-124.863300,50.078130,58399,6353,diva_id__5885,-124.362915,50.494583,0.428000,-124.362915,50.494583,2.000000,0.000000
153,8100,2236.689176,47.625000,-124.375000,10,1170.233032,-124.189500,47.057290,54508,4871,diva_id__4403,-124.347916,47.535416,0.407000,-124.347916,47.535416,2.000000,0.000000
154,8163,0.000000,47.375000,-124.375000,14,1129.678345,-124.189500,47.057290,33380,4871,diva_id__4403,-124.299583,47.347916,0.407000,-124.299583,47.347916,2.000000,0.000000
155,9541,0.000000,43.125000,-124.375000,14,2725.861572,-124.248000,43.463540,40788,4885,diva_id__4417,-124.428749,43.121250,0.443000,-124.428749,43.121250,2.000000,0.000000
156,9757,0.000000,42.375000,-124.375000,47,13341.360352,-124.482400,42.734380,35005,321,port_orford,-124.429581,42.422081,0.438000,-124.429581,42.422081,2.000000,0.000000
157,10260,4654.645793,40.625000,-124.375000,49,9412.452148,-124.248000,40.703130,9353,4892,diva_id__4424,-124.281250,40.622917,0.449000,-124.281250,40.622917,2.000000,0.000000
