rivmth_id,lat,lon,rivwth,uparea,dist2coast,q_mean,couple_id,gtsm_egm_offset,surge_std,tidal_range
7244,51.30208206,-58.65874481,53,6376286208.0,6183,163.86702,1154,-0.11,0.1366623489549328,1.438376
7246,51.30958176,-58.14291382,15,1301315328.0,0,32.426807,1165,-0.127,0.1331711682830256,1.4026618
7248,51.47291565,-57.69708252,58,7149402112.0,0,178.54507,1172,-0.127,0.1331711682830256,1.4026618
7261,51.49874878,-2.711250305,10,2239476736.0,0,22.809711,1555,-0.019,0.2201733084356617,9.197778
7262,51.4679184,0.32041740399999996,22,13419896832.0,9004,87.79914,1613,0.033,0.2569361344542478,4.0243235
7263,51.39291763,0.523750305,10,1581251584.0,4886,9.298349,1616,0.033,0.25793713905510823,4.0243235
7312,51.30708313,-80.29791259999999,358,108000000000.0,2186,17.431795,672,0.13699999999999998,0.3041653101443952,2.5134046
7313,51.14708328,-79.77041626,130,29278425088.0,0,361.09235,692,0.138,0.317806474958303,2.5619
7315,51.21374893,-78.9312439,254,66143580160.0,0,1025.743,728,0.129,0.32681974502017136,1.8275555
7317,51.23541641,-58.57791138,19,1658168576.0,0,37.510555,1155,-0.11,0.1366623489549328,1.438376
7325,51.1879158,-3.0520820619999998,10,1644786432.0,2187,16.590582,1543,-0.019,0.20093477196754692,8.444024
7326,50.90124893,-1.3837490080000001,10,1252218880.0,2191,4.1048474,1578,0.039,0.1668120661593472,1.58149
7332,51.15291595,2.7237510680000003,10,1572939904.0,2188,10.4921465,1632,0.047,0.2491798686535664,3.832227
7361,50.93458176,-126.1929169,23,1326449536.0,0,87.23303,140,0.43,0.12086266592448097,3.6755192
7371,51.14291763,-79.77874756,130,29278425088.0,0,71.9973,693,0.138,0.317806474958303,2.5619
7373,50.99458313,-58.98708344,14,1198069888.0,2190,28.015047,1151,-0.125,0.13349387954414613,1.413996
7380,50.90374756,-1.4462490080000001,10,1252218880.0,0,10.519332,1579,0.039,0.17627314506209465,1.58149
7412,50.56874847,-126.9762497,24,1832544128.0,0,97.955505,139,0.431,0.11833054661873287,3.6572669
7428,50.31375122,-64.30374908,61,7623346176.0,3110,122.70005,1080,-0.162,0.12640483127095842,1.5151339
7431,50.27874756,-60.29291534,43,5359651328.0,0,12.33474,1136,-0.129,0.13284122310587934,1.18755
7439,50.54208374,-3.4987487789999996,10,1249575552.0,0,4.699124,1529,0.016,0.14271347672742868,3.0184171
