index,basin_idx,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat,rivhgt,elevtn,elvp10,elvp90,elvavg,area_km,cell_count,mean_drain_length,mean_drain_slope
338,16511,16510,0.000000,18.125000,-103.125000,10,1976.554077,-103.183600,18.177080,9269,5069,diva_id__4601,-103.247086,18.234583,0.629000,-103.247086,18.234583,2.000000,0.000000,52.500000,846.300000,415.000000,1977.006928,4,93014.656250,0.010772
339,16512,16511,0.000000,18.125000,-102.875000,10,2255.402344,-102.451200,17.994790,36147,5071,diva_id__4603,-102.780418,18.082083,0.635000,-102.780418,18.082083,2.000000,0.000000,45.063998,613.800000,311.931999,2255.913448,5,107688.078125,0.005548
343,16578,16577,2558.645834,17.875000,-102.125000,71,111218.429688,-102.158200,17.942710,2428,16463,deltas_257,-102.137085,17.951250,0.643000,-102.137085,17.951250,2.222662,0.000000,234.046497,2051.429871,937.106574,111243.969622,154,510655.294759,0.002478
344,16579,16578,0.000000,17.875000,-101.875000,10,1186.623901,-102.099600,17.994790,26878,5072,diva_id__4604,-101.861252,17.911249,0.643000,-101.861252,17.911249,2.000000,0.000000,18.266000,301.466000,148.443334,1186.888664,3,75966.968750,0.004660
345,16661,16660,0.000000,17.375000,-101.375000,10,1318.682251,-100.986300,17.265630,43603,5074,diva_id__4606,-101.328751,17.482082,0.689000,-101.328751,17.482082,2.000000,0.000000,34.600000,311.400000,173.000000,1318.992656,2,71369.671875,0.004848
346,1020,1019,1938.441116,72.125000,-100.625000,10,1230.978516,-101.132800,72.213540,15147,6478,diva_id__6010,-100.687080,72.211250,0.024000,-100.687080,72.211250,2.000000,0.000000,2.026053,11.171685,6.061804,1232.081812,6,52992.861328,0.000157
347,16691,16690,0.000000,17.125000,-100.625000,10,1400.559204,-100.986300,17.265630,37417,5074,diva_id__4606,-100.661247,17.136250,0.689000,-100.661247,17.136250,2.000000,0.000000,6.800000,394.000000,172.666667,1400.859056,3,65336.542969,0.007408
348,845,844,1933.843140,72.625000,-100.375000,10,2256.389404,-100.429700,72.890630,17936,6476,diva_id__6008,-100.457085,72.729584,0.000000,-100.457085,72.729584,2.000000,0.000000,4.528000,75.584999,39.042518,2258.427426,11,89054.126953,0.000878
349,728,727,5797.148777,72.875000,-100.125000,10,1464.607178,-100.429700,72.890630,13558,6476,diva_id__6008,-100.015411,72.892914,0.000000,-100.015411,72.892914,2.000000,0.000000,14.700000,94.131956,57.575458,1465.849986,8,42085.428516,0.002529
350,16728,16727,0.000000,16.875000,-100.125000,10,1654.744263,-99.902340,16.848960,24889,3,acapulco,-100.112083,16.947916,0.727000,-100.112083,16.947916,2.000000,0.000000,10.800000,430.000000,192.666667,1655.111620,3,51501.228516,0.004727
352,16768,16767,0.000000,16.625000,-99.625000,10,7495.471680,-99.638670,16.692710,3383,1209,diva_id__738,-99.607086,16.689583,0.731000,-99.607086,16.689583,2.000000,0.000000,59.500000,823.800000,406.750000,7497.171696,12,130020.009375,0.004580
353,16770,16769,0.000000,16.625000,-99.125000,10,1302.088623,-99.316410,16.640630,11285,5076,diva_id__4608,-99.211250,16.628750,0.735000,-99.211250,16.628750,2.000000,0.000000,4.400000,173.200000,77.666667,1302.385860,3,64306.250000,0.003281
355,16771,16770,0.000000,16.625000,-98.875000,11,1087.662231,-98.964840,16.588540,15983,5077,diva_id__4609,-98.818748,16.556250,0.737000,-98.818748,16.556250,2.000000,0.000000,18.700000,168.300000,93.500000,1087.918688,2,37666.648438,0.004965
356,16772,16771,0.000000,16.625000,-98.625000,42,6959.824707,-98.642580,16.432290,12153,5078,diva_id__4610,-98.720413,16.512083,0.727000,-98.720413,16.512083,2.000000,0.000000,13.595000,491.568243,202.452125,6961.525232,12,92732.080469,0.003428
357,730,729,1932.528439,72.875000,-98.375000,10,2627.447998,-98.085940,73.098960,27136,6480,diva_id__6012,-98.399582,72.872917,-0.071000,-98.399582,72.872917,2.000000,0.000000,7.581857,29.759835,17.475149,2629.504279,10,74516.139063,0.000330
358,2292,2291,4393.075248,69.375000,-98.375000,10,1275.450806,-99.082030,69.140630,45036,6518,diva_id__6050,-98.397919,69.465416,0.019000,-98.397919,69.465416,2.000000,0.000000,12.958400,62.631316,42.637668,1276.542712,5,75496.886719,0.000848
359,1101,1100,1941.159739,71.875000,-98.125000,10,1707.398682,-98.085940,71.588540,35550,6482,diva_id__6014,-98.237915,71.904587,-0.066000,-98.237915,71.904587,2.000000,0.000000,9.433600,114.484512,59.290150,1708.980668,9,64078.728516,0.001711
360,13710,13709,0.000000,27.625000,-98.125000,10,2459.888672,-97.353520,27.213540,44704,5909,diva_id__5441,-97.737915,27.425415,0.240000,-97.737915,27.425415,2.000000,0.000000,7.749500,69.745496,38.747498,2460.428992,2,34674.921875,0.002235
362,13805,13804,0.000000,27.375000,-97.875000,10,1900.864502,-97.353520,27.213540,39020,5909,diva_id__5441,-97.742081,27.274582,0.240000,-97.742081,27.274582,2.000000,0.000000,14.598001,160.997998,84.198000,1901.341200,5,111895.578125,0.001627
363,14790,14789,9047.711223,24.125000,-97.875000,10,1024.506470,-97.646480,24.609380,49142,1387,diva_id__916,-97.766251,24.181250,0.240000,-97.766251,24.181250,2.000000,0.000000,9.800000,87.400000,48.666667,1024.744192,3,63054.121094,0.001538
364,15094,15093,0.000000,23.125000,-97.875000,10,1530.718262,-97.822270,22.786460,30545,5922,diva_id__5454,-97.762085,23.055416,0.250000,-97.762085,23.055416,2.000000,0.000000,8.800000,86.400000,47.000000,1531.018944,3,63293.867188,0.001533
365,15263,15262,2523.271492,22.625000,-97.875000,10,1943.442017,-97.822270,22.786460,22948,5922,diva_id__5454,-97.858749,22.582916,0.250000,-97.858749,22.582916,2.000000,0.000000,1.048500,54.374250,27.185625,1943.914720,4,68423.015625,0.000769
366,15355,15354,2525.923737,22.375000,-97.875000,87,85604.093750,-97.763670,22.265630,2419,5924,diva_id__5456,-97.787079,22.263750,0.250000,-97.787079,22.263750,2.473411,0.000000,16.322081,1834.400000,784.760614,85623.545603,122,352528.032286,0.002472
367,16844,16843,0.000000,16.125000,-97.875000,10,1113.099976,-97.910160,16.067710,10585,5081,diva_id__4613,-97.993752,16.118750,0.692000,-97.993752,16.118750,2.000000,0.000000,2.500000,22.500000,12.500000,1113.357072,2,37665.226562,0.000664
368,16885,16884,0.000000,15.875000,-97.875000,59,18295.744141,-97.910160,16.067710,15955,5081,diva_id__4613,-97.787918,15.985416,0.692000,-97.787918,15.985416,2.008097,0.000000,200.000000,1596.500000,1031.244672,18299.945880,26,176867.687500,0.007473
369,13532,13531,2472.451121,28.125000,-97.625000,10,2292.684570,-97.001950,27.942710,26213,364,rockport,-97.232086,28.062082,0.221000,-97.232086,28.062082,2.000000,0.000000,4.866000,47.266000,25.776667,2293.109856,3,74713.046875,0.000709
370,13616,13615,0.000000,27.875000,-97.625000,10,43407.910156,-97.177730,27.682290,39565,5905,diva_id__5437,-97.521248,27.867081,0.225000,-97.521248,27.867081,2.000000,0.000000,57.339429,397.400000,187.849815,43417.467981,65,330331.697188,0.000668
371,13806,13805,8936.747948,27.375000,-97.625000,10,2720.972656,-97.353520,27.213540,31427,5909,diva_id__5441,-97.537918,27.443748,0.240000,-97.537918,27.443748,2.000000,0.000000,5.848500,79.894997,40.621249,2721.582528,4,108816.703125,0.000850
372,13908,13907,2480.581755,27.125000,-97.625000,10,2581.360840,-97.353520,27.213540,28198,5909,diva_id__5441,-97.636246,27.246250,0.240000,-97.636246,27.246250,2.000000,0.000000,2.950000,154.500000,65.316667,2582.037808,6,146299.093750,0.001340
373,13978,13977,0.000000,26.875000,-97.625000,10,5445.268066,-97.353520,27.213540,45774,5909,diva_id__5441,-97.556244,26.843750,0.240000,-97.556244,26.843750,2.000000,0.000000,4.377692,95.094997,40.029451,5446.378640,8,155667.867188,0.000642
374,14113,14112,0.000000,26.375000,-97.625000,10,1087.500732,-97.177730,26.119790,36506,5921,diva_id__5453,-97.361252,26.403748,0.233000,-97.361252,26.403748,2.000000,0.000000,0.000000,0.000000,0.000000,1087.776768,1,10000.000000,0.000000
377,14114,14113,0.000000,26.375000,-97.375000,10,3122.571777,-97.177730,26.119790,45315,5921,diva_id__5453,-97.421249,26.463749,0.233000,-97.421249,26.463749,2.000000,0.000000,1.611478,16.812857,7.958832,3123.367184,5,149481.453125,0.000145
378,14187,14186,0.000000,26.125000,-97.375000,10,1451.917480,-97.177730,26.119790,31130,5921,diva_id__5453,-97.337082,26.360416,0.233000,-97.337082,26.360416,2.000000,0.000000,0.000000,0.000000,0.000000,1452.326272,1,10000.000000,0.000000
380,15768,15767,7174.221013,20.875000,-97.375000,22,5849.330566,-97.060550,20.546880,54047,5927,diva_id__5459,-97.336250,20.958750,0.246000,-97.336250,20.958750,2.000000,0.000000,0.682570,227.346497,90.281511,5850.656448,8,98811.099609,0.001318
381,2677,2676,1973.294662,68.625000,-97.125000,10,1192.822021,-96.972660,68.359380,27609,4768,diva_id__4300,-97.091248,68.603752,0.034000,-97.091248,68.603752,2.000000,0.000000,15.001601,55.916800,38.459200,1193.824480,5,44630.713542,0.001382
383,13534,13533,0.000000,28.125000,-97.125000,10,2586.801270,-97.001950,27.942710,29798,364,rockport,-97.172081,28.164583,0.221000,-97.172081,28.164583,2.000000,0.000000,1.299000,58.899000,26.165000,2587.423712,3,103255.328125,0.000697
384,14250,14249,0.000000,25.875000,-97.125000,33,474627.281250,-97.119140,25.963540,2966,16430,deltas_196,-97.147079,25.954582,0.239000,-97.147079,25.954582,2.000000,0.000000,246.778198,1958.600000,1096.342045,474613.057633,720,1339365.303658,0.000906
385,15821,15820,2538.304195,20.625000,-97.125000,16,2816.980957,-97.060550,20.546880,24927,5927,diva_id__5459,-97.202911,20.727083,0.246000,-97.202911,20.727083,2.000000,0.000000,0.685353,333.600000,133.342676,2817.558552,5,126240.187500,0.003549
386,15895,15894,2540.249091,20.375000,-97.125000,27,7766.545410,-97.060550,20.546880,9021,5927,diva_id__5459,-97.027084,20.472082,0.246000,-97.027084,20.472082,2.000000,0.000000,20.475199,1982.600000,786.157384,7768.283088,13,154036.804688,0.008097
387,16888,16887,0.000000,15.875000,-97.125000,10,1680.105225,-96.884770,15.755210,16447,5082,diva_id__4614,-97.026245,15.812916,0.637000,-97.026245,15.812916,2.000000,0.000000,70.800000,281.600000,198.000000,1680.267936,4,49900.988281,0.005473
388,13297,13296,0.000000,28.875000,-96.875000,10,1318.181396,-96.416020,28.359380,46078,1545,diva_id__1074,-96.657082,28.715416,0.216000,-96.657082,28.715416,2.000000,0.000000,2.000000,18.000000,10.000000,1318.452780,2,34388.859375,0.000582
389,13452,13451,0.000000,28.375000,-96.875000,11,26510.287109,-96.591800,28.255210,28859,16423,deltas_178,-96.787079,28.449583,0.217000,-96.787079,28.449583,2.000000,0.000000,33.996000,417.200000,174.941761,26516.404064,45,274399.796875,0.000720
390,15950,15949,2542.045453,20.125000,-96.875000,10,2785.099121,-97.060550,20.546880,45145,5927,diva_id__5459,-96.782913,20.235416,0.246000,-96.782913,20.235416,2.000000,0.000000,14.400000,1523.400000,593.800000,2785.750424,5,96710.929688,0.014055
391,13370,13369,0.000000,28.625000,-96.625000,11,5902.729004,-96.416020,28.359380,41148,1545,diva_id__1074,-96.574585,28.702082,0.216000,-96.574585,28.702082,2.000000,0.000000,9.597538,62.231001,35.727721,5904.046304,8,114086.398438,0.000481
392,16097,16096,2548.310994,19.625000,-96.625000,10,1986.028076,-96.298830,19.453130,5136,5929,diva_id__5461,-96.327087,19.415417,0.217000,-96.327087,19.415417,2.000000,0.000000,52.600000,473.400000,263.000000,1986.456352,2,36223.039062,0.014521
394,3074,3073,0.000000,67.625000,-96.375000,11,3340.937744,-96.035160,67.473960,19471,4770,diva_id__4302,-96.452911,67.545418,0.040000,-96.452911,67.545418,2.000000,0.000000,12.286812,82.721844,39.960270,3343.756076,13,71701.250651,0.000547
395,16167,16166,2549.046997,19.375000,-96.375000,12,3322.919189,-96.298830,19.348960,4596,5930,diva_id__5462,-96.288750,19.308750,0.217000,-96.288750,19.308750,2.000000,0.000000,29.400000,732.919745,332.685623,3323.749056,4,88790.734375,0.010223
396,1976,1975,5879.999989,69.875000,-96.125000,10,1046.100586,-96.035160,69.609380,35154,6541,diva_id__6073,-96.042915,69.925415,-0.002000,-96.042915,69.925415,2.000000,0.000000,18.600000,143.695003,79.692501,1047.423368,4,51128.595703,0.002113
397,2405,2404,0.000000,69.125000,-96.125000,10,1151.636841,-95.683590,69.192710,24540,6517,diva_id__6049,-96.124580,69.037918,0.029000,-96.124580,69.037918,2.000000,0.000000,8.499000,45.629517,30.913031,1152.533096,5,68658.910156,0.000671
398,16224,16223,2550.508729,19.125000,-96.125000,29,3696.732666,-96.064450,19.088540,4170,5931,diva_id__5463,-96.102081,19.100416,0.214000,-96.102081,19.100416,2.000000,0.000000,6.000000,793.865991,271.577648,3697.562256,7,118301.332031,0.007003
