couple_id,rivmth_idx,cmf_col_15min,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,cmf_row_15min,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat
106,1812,143,0.0,70.125,-144.125,10.0,79,3184898560.0,-144.9023,69.97395999999999,33674.531125122485,1135,diva_id__664,-144.03125,70.0279159546,0.109,-144.03125,70.0279159546
107,4842,143,2069.0,60.125,-144.125,10.0,119,1226405632.0,-144.1992,60.02604,21250.67358131094,6221,diva_id__5753,-144.20291137700002,60.217082977299995,0.45,-144.20291137700002,60.217082977299995
108,1815,146,1958.0,70.125,-143.375,10.0,79,2413693184.0,-143.1445,70.13020999999999,6719.23099694371,4725,diva_id__4257,-143.29458618200002,70.0979156494,0.114,-143.29458618200002,70.0979156494
109,4844,146,0.0,60.125,-143.375,10.0,119,1786743936.0,-144.1992,60.02604,40401.68774058781,6221,diva_id__5753,-143.473754883,60.0520820618,0.45,-143.473754883,60.0520820618
110,1935,149,1960.0,69.875,-142.625,10.0,80,1708510208.0,-141.5039,69.71354000000001,28623.430126430103,4726,diva_id__4258,-142.152923584,69.8395843506,0.101,-142.152923584,69.8395843506
111,4847,149,0.0,60.125,-142.625,10.0,119,1342786304.0,-142.0898,60.02604,25477.14037850201,4773,diva_id__4305,-142.532089233,60.0870819092,0.432,-142.532089233,60.0870819092
112,1937,151,1961.0,69.875,-142.125,10.0,80,1708510208.0,-141.5039,69.71354000000001,23898.33047391967,4726,diva_id__4258,-142.05708313,69.8112487793,0.101,-142.05708313,69.8112487793
113,1938,152,1961.0,69.875,-141.875,10.0,80,3835072512.0,-141.5039,69.71354000000001,17917.415382177987,4726,diva_id__4258,-141.912918091,69.7904205322,0.101,-141.912918091,69.7904205322
114,4848,152,0.0,60.125,-141.875,10.0,119,3068090624.0,-142.0898,60.02604,37564.03819324456,4773,diva_id__4305,-141.45208740200002,60.1395835876,0.432,-141.45208740200002,60.1395835876
115,4849,153,0.0,60.125,-141.625,10.0,119,3068090624.0,-142.0898,60.02604,41308.32039926889,4773,diva_id__4305,-141.378753662,60.136249542200005,0.432,-141.378753662,60.136249542200005
116,2079,154,0.0,69.625,-141.375,10.0,81,3331190784.0,-141.5039,69.71354000000001,260.9895117061255,4726,diva_id__4258,-141.510421753,69.7129135132,0.101,-141.510421753,69.7129135132
117,4850,154,0.0,60.125,-141.375,10.0,119,3068090624.0,-142.0898,60.02604,45712.68364904944,4773,diva_id__4305,-141.26791381799998,60.011249542200005,0.432,-141.26791381799998,60.011249542200005
118,4933,159,0.0,59.875,-140.125,10.0,120,1157343616.0,-139.7461,59.55729,28228.6774330869,468,yakutat,-139.878753662,59.8020820618,0.404,-139.878753662,59.8020820618
119,4934,160,0.0,59.875,-139.875,10.0,120,1157343616.0,-139.7461,59.55729,28337.870181676604,468,yakutat,-139.980407715,59.782917022700005,0.404,-139.980407715,59.782917022700005
120,2086,161,1963.0,69.625,-139.625,10.0,81,1014782272.0,-139.7461,69.60938,8496.71097572601,4727,diva_id__4259,-139.612915039,69.54875183109999,0.068,-139.612915039,69.54875183109999
121,4851,161,2071.0,60.125,-139.625,10.0,119,2831861248.0,-139.7461,59.55729,57807.78652916089,468,yakutat,-139.507080078,60.062915802,0.404,-139.507080078,60.062915802
122,2087,162,1963.0,69.625,-139.375,15.0,81,6160247296.0,-139.7461,69.60938,12607.871711125994,4727,diva_id__4259,-139.477920532,69.54541778560001,0.068,-139.477920532,69.54541778560001
123,5051,165,0.0,59.375,-138.625,142.0,122,29446045696.0,-139.6289,59.427080000000004,65259.993741704886,1146,diva_id__675,-138.622085571,59.144584655799996,0.403,-138.622085571,59.144584655799996
