index,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat
471,4055,4532.000000,63.875000,-91.125000,-90.878910,63.567710,33734,6605,diva_id__6137,-91.418747,63.753750,-0.106000,-91.418747,63.753750
478,3651,0.000000,65.625000,-90.375000,-89.707030,65.807290,10877,4818,diva_id__4350,-89.941246,65.788750,-0.270000,-89.941246,65.788750
493,12989,0.000000,29.875000,-89.875000,-89.560550,29.453130,26044,5841,diva_id__5373,-89.621246,29.681250,0.203000,-89.621246,29.681250
504,16804,0.000000,16.375000,-88.875000,-88.681640,16.171880,8376,5950,diva_id__5482,-88.756248,16.148750,0.399000,-88.756248,16.148750
514,15644,2531.000000,21.375000,-88.375000,-88.740230,21.432290,40829,5943,diva_id__5475,-88.372917,21.566250,0.223000,-88.372917,21.566250
526,16174,0.000000,19.375000,-87.875000,-87.685550,19.244790,32338,5945,diva_id__5477,-87.677078,19.535416,0.529000,-87.677078,19.535416
534,16283,0.000000,18.875000,-87.625000,-88.154300,18.359380,45494,5946,diva_id__5478,-88.002083,18.742083,0.507000,-88.002083,18.742083
549,857,1935.000000,72.625000,-86.875000,-86.132810,72.317710,29958,6635,diva_id__6167,-86.502083,72.562920,-0.243000,-86.502083,72.562920
553,3587,0.000000,65.875000,-86.625000,-86.777340,65.546880,35093,4817,diva_id__4349,-86.421249,65.826248,-0.253000,-86.421249,65.826248
560,6113,4267.000000,55.125000,-85.375000,-85.136720,55.286460,8771,16333,deltas_003,-85.002914,55.266251,-0.009000,-85.002914,55.266251
568,12920,0.000000,30.125000,-84.625000,-84.990230,29.609380,68471,13,apalachicola,-84.434586,29.992083,0.150000,-84.434586,29.992083
572,2303,1969.000000,69.375000,-84.375000,-84.785160,68.776040,29964,4795,diva_id__4327,-84.513748,69.027084,0.060000,-84.513748,69.027084
576,16951,2572.000000,15.625000,-84.375000,-84.755860,15.911460,28929,5962,diva_id__5494,-84.502914,15.819582,0.505000,-84.502914,15.819582
589,17780,0.000000,10.125000,-83.625000,-83.232420,10.182290,7640,5969,diva_id__5501,-83.284584,10.227917,0.462000,-83.284584,10.227917
598,13090,0.000000,29.625000,-83.125000,-83.291020,29.244790,16950,5765,diva_id__5297,-83.197914,29.373749,0.113000,-83.197914,29.373749
608,18030,2607.000000,8.625000,-82.625000,-82.236330,8.203126,28891,5155,diva_id__4687,-82.474586,8.312083,0.669000,-82.474586,8.312083
610,2564,0.000000,68.875000,-82.375000,-81.972660,69.244790,39159,4797,diva_id__4329,-82.003746,68.892914,-0.026000,-82.003746,68.892914
612,6588,0.000000,53.625000,-82.375000,-82.089840,53.307290,22648,5016,diva_id__4548,-82.184586,53.502914,0.083000,-82.184586,53.502914
630,18076,0.000000,8.375000,-81.875000,-81.708980,8.046876,14086,5156,diva_id__4688,-81.743752,8.168750,0.673000,-81.743752,8.168750
632,3079,0.000000,67.625000,-81.625000,-81.972660,66.953130,57155,4800,diva_id__4332,-81.277084,67.390419,-0.105000,-81.277084,67.390419
634,7048,0.000000,52.125000,-81.625000,-81.621090,52.265630,22482,16345,deltas_016,-81.386246,52.123749,0.119000,-81.386246,52.123749
635,12787,0.000000,30.625000,-81.625000,-81.416020,30.494790,6476,5656,diva_id__5188,-81.466248,30.533749,0.069000,-81.466248,30.533749
636,14056,0.000000,26.625000,-81.625000,-81.884770,26.380210,4816,5718,diva_id__5250,-81.837921,26.369583,0.166000,-81.837921,26.369583
646,15177,2519.000000,22.875000,-81.375000,-81.240230,23.151040,16236,8322,diva_id__7854,-81.157913,23.026249,0.634000,-81.157913,23.026249
648,656,0.000000,73.125000,-81.125000,-80.039060,72.526040,53015,6682,diva_id__6214,-80.612915,72.971252,-0.265000,-80.612915,72.971252
651,12421,2429.000000,32.125000,-81.125000,-80.888670,31.953130,13825,16401,deltas_137,-80.908752,32.076248,0.154000,-80.908752,32.076248
657,19776,0.000000,-4.625000,-81.125000,-81.240230,-4.817708,8175,5221,diva_id__4753,-81.267914,-4.749584,0.514000,-81.267914,-4.749584
674,13980,2481.000000,26.875000,-80.375000,-80.185550,27.213540,9064,616,diva_id__145,-80.262085,27.168751,0.070000,-80.262085,27.168751
675,14252,0.000000,25.875000,-80.375000,-80.126950,25.859380,6604,5700,diva_id__5232,-80.126251,25.918751,0.185000,-80.126251,25.918751
