id,col_15min,dist2coast,lat,lat_15min,lon,lon_15min,rivwth,row_15min,uparea,rivhgt,elevtn
1619,349,0.000000,70.677917,70.625000,-92.642914,-92.625000,10.000000,77,2350.279541,2.000000,0.000000
1629,427,0.000000,70.628754,70.625000,-72.622917,-73.125000,10.000000,77,1726.216797,2.000000,0.000000
1630,429,0.000000,70.614586,70.625000,-72.542084,-72.625000,11.654433,77,2674.155273,2.000000,0.000000
1641,444,0.000000,70.700417,70.625000,-68.977913,-68.875000,10.000000,77,1928.358765,2.000000,0.000000
1670,941,0.000000,70.698746,70.625000,55.336250,55.375000,10.000000,77,1366.332031,2.000000,0.000000
1679,989,6173.976756,70.712914,70.625000,67.394585,67.375000,19.066313,77,3010.190430,2.000000,0.000000
1684,1048,0.000000,70.597084,70.625000,82.198753,82.125000,13.123108,77,1213.435547,2.000000,0.000000
1690,1357,1952.223258,70.727921,70.625000,159.461243,159.375000,10.000000,77,2218.193115,2.000000,0.000000
1694,79,0.000000,70.322083,70.375000,-160.131256,-160.125000,10.000000,78,1543.154419,2.000000,0.000000
1695,80,0.000000,70.317917,70.375000,-159.881256,-159.875000,19.738144,78,7047.697754,2.000000,0.000000
1697,114,2765.860255,70.363747,70.375000,-151.281250,-151.375000,10.000000,78,4397.912598,2.000000,0.000000
1700,118,1955.273537,70.412918,70.375000,-150.433746,-150.375000,142.958099,78,59370.855469,3.219640,0.000000
1704,124,5866.790311,70.381248,70.375000,-148.962921,-148.875000,22.885855,78,9026.812500,2.000000,0.000000
1716,265,0.000000,70.266251,70.375000,-113.607086,-113.625000,10.000000,78,1011.220947,2.000000,0.000000
1722,274,4375.021087,70.279587,70.375000,-111.412918,-111.375000,24.083530,78,9296.824219,2.000000,0.000000
1741,387,1956.082387,70.318748,70.375000,-83.033745,-83.125000,49.560375,78,8800.875977,2.000000,0.000000
1743,401,3909.256599,70.478752,70.375000,-79.552917,-79.625000,63.714092,78,15195.484375,2.092289,0.000000
1746,405,6182.607248,70.421249,70.375000,-78.627914,-78.625000,14.087036,78,1869.457275,2.000000,0.000000
1749,408,2767.235926,70.262085,70.375000,-77.758751,-77.875000,25.719412,78,4665.629883,2.000000,0.000000
1752,432,0.000000,70.302917,70.375000,-71.750412,-71.875000,13.265164,78,1936.100708,2.000000,0.000000
